persona_profile_column,sensitive_id,mean_control,mean_treatment,mean_diff,var_control,var_treatment,n_valid_control,n_valid_treatment,ci_lower,ci_upper,p_value,pi_le,allbus_variable,pi_allbus,bias_le
top-16,sens_10,2.91,3.78,0.8699999999999997,0.3251515151515151,0.536969696969697,100,100,0.6868292339473548,1.0531707660526446,2.4113736149126046e-17,0.8699999999999997,fr03b,0.3317442512619181,0.5382557487380816
top-16,sens_11,2.91,3.6262626262626263,0.7162626262626262,0.3251515151515151,0.8486909915481347,100,99,0.5015460422999238,0.9309792102253285,5.884468429595968e-10,0.7162626262626262,pi08,0.0969489592244083,0.6193136670382179
top-16,sens_12,2.91,3.73,0.8199999999999998,0.3251515151515151,0.5425252525252523,100,100,0.6362372915145501,1.0037627084854495,9.041493324598728e-16,0.8199999999999998,mm03,0.4464130119082196,0.37358698809178026
top-16,sens_13,2.91,3.69,0.7799999999999998,0.3251515151515151,0.4786868686868686,100,100,0.6031550891139188,0.9568449108860808,1.5276648332131387e-15,0.7799999999999998,mm04,0.433411214953271,0.3465887850467288
top-16,sens_14,2.91,3.783505154639175,0.873505154639175,0.3251515151515151,0.4213917525773196,100,97,0.7015931297625927,1.0454171795157572,2.983923499569621e-19,0.873505154639175,mm05,0.4825462012320328,0.3909589534071422
top-16,sens_2,2.91,3.66,0.75,0.3251515151515151,0.42868686868686867,100,100,0.5787619548419153,0.9212380451580847,2.0755342862920635e-15,0.75,ma02,0.147450110864745,0.602549889135255
top-16,sens_3,2.91,3.79,0.8799999999999999,0.3251515151515151,0.3897979797979798,100,100,0.7132482976719439,1.046751702328056,1.75272079768891e-20,0.8799999999999999,ma03,0.1893392559689061,0.6906607440310938
top-16,sens_4,2.91,3.7346938775510203,0.8246938775510202,0.3251515151515151,0.8567220702714076,100,98,0.6084201714834905,1.04096758361855,3.4315504223734573e-12,0.8246938775510202,ma04,0.0727524204702628,0.7519414570807574
top-16,sens_5,2.91,3.53,0.6199999999999997,0.3251515151515151,0.6556565656565657,100,100,0.42456330151012833,0.815436698489871,2.796748641256291e-09,0.6199999999999997,mp02,0.3583541840422574,0.2616458159577423
top-16,sens_6,2.91,3.8383838383838382,0.9283838383838381,0.3251515151515151,0.5450422593279737,100,99,0.743760433799865,1.1130072429678113,7.387802495217972e-19,0.9283838383838381,ca13,0.1095813430738971,0.818802495309941
top-16,sens_7,2.91,4.04,1.13,0.3251515151515151,0.30141414141414136,100,100,0.9739018033078873,1.2860981966921123,3.051189369882027e-32,1.13,ca08,0.9841004184100418,0.14589958158995808
top-16,sens_8,2.91,3.5876288659793816,0.6776288659793814,0.3251515151515151,0.8906786941580757,100,97,0.45738119631973445,0.8978765356390284,8.927638093578118e-09,0.6776288659793814,fr10,0.1564853556485355,0.5211435103308459
top-16,sens_9,2.91,3.556701030927835,0.6467010309278347,0.3251515151515151,0.6660223367697594,100,97,0.4481509310458768,0.8452511308097926,1.2301402041204787e-09,0.6467010309278347,fr04b,0.1813355685945795,0.4653654623332552
top-2,sens_1,2.93,3.35,0.41999999999999993,0.06575757575757578,0.24999999999999997,100,100,0.3089553142224779,0.531044685777522,6.3205011282717496e-12,0.41999999999999993,ma01b,0.672370963290091,-0.2523709632900911
top-2,sens_10,2.93,3.32,0.3899999999999997,0.06575757575757578,0.26020202020202016,100,100,0.2771649723326363,0.5028350276673631,2.1160468266506257e-10,0.3899999999999997,fr03b,0.3317442512619181,0.05825574873808159
top-2,sens_11,2.93,3.23,0.2999999999999998,0.06575757575757578,0.380909090909091,100,100,0.16779924977761393,0.4322007502223857,1.5428664980039893e-05,0.2999999999999998,pi08,0.0969489592244083,0.20305104077559152
top-2,sens_12,2.93,3.29,0.3599999999999999,0.06575757575757578,0.24838383838383843,100,100,0.2492415656206731,0.47075843437932663,1.7176162383052173e-09,0.3599999999999999,mm03,0.4464130119082196,-0.0864130119082197
